Merchant,Booked Quarter,Quarter On Book,FICO Bucket,Line Item,Value
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Card Origination,"($42,730)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),CAC / New Account,($116)
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Partner Signing Bonus,"($1,053,900)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Program Support,"($6,070)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Other Credits,-
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),New Accounts,"7,335"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Total Accounts,"7,335"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),In-Month Active Accounts,"4,663"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Net Transaction Volume,"$5,707,200"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),On-Merchant Volume,"$4,794,000"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Off-Merchant Volume,"$913,200"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Outstanding Balance,"$8,451,520"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Revolve Balance,"$2,094,000"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Principal Payments,"($5,514,200)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),EoP Interest & Fees Balance,"$72,620"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Interest Revenue,"$114,650"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Interchange Revenue,"$80,590"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Fee Revenue,"$5,770"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Merchant Discount Rate,"$72,010"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Other Revenue,"$4,080"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Cost of Funds,"($109,180)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Charge Offs,-
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Recoveries / Debt Sale,-
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Payment Fees,"($8,500)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Rewards,"($113,004)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Rebates,"($11,790)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Royalties,"($40,465)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),3rd Party Fraud,"($3,620)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Servicing & Collections,"($12,510)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Acquisition Bounties,"($238,560)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Sign-On Bonus,"($169,640)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Marketing Expense,"($128,440)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Added Features,"($8,580)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),KYC/AML and Underwriting Costs,"($114,400)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Card Origination,"($57,740)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),CAC / New Account,($98)
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Partner Signing Bonus,-
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Program Support,"($8,380)"
Merchant 1,Q1 2023,Q1 2023,Very Good (740-799),Other Credits,-
Merchant 1,Q1 2023,Q1 2023,Good (670-739),New Accounts,"5,870"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Total Accounts,"5,870"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),In-Month Active Accounts,"3,423"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Net Transaction Volume,"$3,508,000"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),On-Merchant Volume,"$2,946,700"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Off-Merchant Volume,"$561,300"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Outstanding Balance,"$6,644,060"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Revolve Balance,"$2,023,400"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Principal Payments,"($2,769,000)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),EoP Interest & Fees Balance,"$93,760"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Interest Revenue,"$125,960"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Interchange Revenue,"$49,530"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Fee Revenue,"$7,500"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Merchant Discount Rate,"$44,390"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Other Revenue,"$2,560"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Cost of Funds,"($81,740)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Charge Offs,-
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Recoveries / Debt Sale,-
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Payment Fees,"($5,330)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Rewards,"($62,013)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Rebates,"($6,930)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Royalties,"($25,425)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),3rd Party Fraud,"($2,510)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Servicing & Collections,"($11,460)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Acquisition Bounties,"($154,870)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Sign-On Bonus,"($120,620)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Marketing Expense,"($90,480)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Added Features,"($5,680)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),KYC/AML and Underwriting Costs,"($85,580)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Card Origination,"($40,640)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),CAC / New Account,($85)
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Partner Signing Bonus,-
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Program Support,"($6,850)"
Merchant 1,Q1 2023,Q1 2023,Good (670-739),Other Credits,-
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),New Accounts,"3,741"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Total Accounts,"3,741"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),In-Month Active Accounts,"1,979"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Net Transaction Volume,"$1,642,800"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),On-Merchant Volume,"$1,380,000"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Off-Merchant Volume,"$262,800"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Outstanding Balance,"$3,887,210"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Revolve Balance,"$1,597,000"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Principal Payments,"($1,197,800)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),EoP Interest & Fees Balance,"$90,310"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Interest Revenue,"$111,390"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Interchange Revenue,"$24,840"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Fee Revenue,"$7,420"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Merchant Discount Rate,"$20,510"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Other Revenue,"$1,500"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Cost of Funds,"($47,510)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Charge Offs,-
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Recoveries / Debt Sale,-
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Payment Fees,"($2,470)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Rewards,"($26,169)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Rebates,"($3,310)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Royalties,"($11,846)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),3rd Party Fraud,"($1,450)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Servicing & Collections,"($9,030)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Acquisition Bounties,"($77,800)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Sign-On Bonus,"($59,900)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Marketing Expense,"($43,060)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Added Features,"($2,830)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),KYC/AML and Underwriting Costs,"($51,150)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Card Origination,"($26,390)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),CAC / New Account,($70)
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Partner Signing Bonus,-
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Program Support,"($4,650)"
Merchant 1,Q1 2023,Q1 2023,Fair (580-669),Other Credits,-
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),New Accounts,"1,658"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Total Accounts,"1,658"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),In-Month Active Accounts,716
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Net Transaction Volume,"$419,700"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),On-Merchant Volume,"$352,500"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Off-Merchant Volume,"$67,200"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Outstanding Balance,"$1,317,130"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Revolve Balance,"$686,500"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Principal Payments,"($307,700)"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),EoP Interest & Fees Balance,"$44,530"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Interest Revenue,"$51,320"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Interchange Revenue,"$6,350"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Fee Revenue,"$4,010"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Merchant Discount Rate,"$5,330"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Other Revenue,$590
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Cost of Funds,"($16,260)"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Charge Offs,-
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Recoveries / Debt Sale,-
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Payment Fees,($630)
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Rewards,"($5,924)"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Rebates,($850)
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Royalties,"($2,881)"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),3rd Party Fraud,($500)
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Servicing & Collections,"($4,760)"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Acquisition Bounties,"($24,050)"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Sign-On Bonus,"($17,080)"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Marketing Expense,"($12,950)"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Added Features,($830)
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),KYC/AML and Underwriting Costs,"($19,510)"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Card Origination,"($10,190)"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),CAC / New Account,($51)
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Partner Signing Bonus,-
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Program Support,"($2,080)"
Merchant 1,Q1 2023,Q1 2023,Poor (300-579),Other Credits,-
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),New Accounts,0
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Total Accounts,"5,136"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),In-Month Active Accounts,"3,673"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Net Transaction Volume,"$6,931,500"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),On-Merchant Volume,"$5,739,300"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Off-Merchant Volume,"$1,192,200"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Outstanding Balance,"$7,806,010"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Revolve Balance,"$1,287,300"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Principal Payments,"($5,670,600)"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),EoP Interest & Fees Balance,"$55,810"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Interest Revenue,"$60,820"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Interchange Revenue,"$91,520"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Fee Revenue,"$3,780"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Merchant Discount Rate,"$84,370"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Other Revenue,"$2,840"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Cost of Funds,"($94,060)"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Charge Offs,"($5,600)"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Recoveries / Debt Sale,$420
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Payment Fees,"($10,100)"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Rewards,"($138,130)"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Rebates,"($14,390)"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Royalties,"($49,261)"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),3rd Party Fraud,"($3,360)"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Servicing & Collections,"($8,270)"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Acquisition Bounties,-
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Sign-On Bonus,-
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Marketing Expense,-
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Added Features,-
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),KYC/AML and Underwriting Costs,-
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Card Origination,-
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),CAC / New Account,-
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Partner Signing Bonus,-
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Program Support,"($6,440)"
Merchant 1,Q1 2023,Q2 2023,Exceptional (800-850),Other Credits,-
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),New Accounts,0
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Total Accounts,"6,953"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),In-Month Active Accounts,"4,668"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Net Transaction Volume,"$7,013,100"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),On-Merchant Volume,"$5,806,800"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Off-Merchant Volume,"$1,206,300"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Outstanding Balance,"$9,939,800"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Revolve Balance,"$2,391,100"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Principal Payments,"($5,573,200)"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),EoP Interest & Fees Balance,"$134,400"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Interest Revenue,"$130,910"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Interchange Revenue,"$99,610"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Fee Revenue,"$7,450"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Merchant Discount Rate,"$86,280"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Other Revenue,"$4,010"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Cost of Funds,"($120,690)"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Charge Offs,"($13,570)"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Recoveries / Debt Sale,"$1,030"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Payment Fees,"($10,470)"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Rewards,"($135,816)"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Rebates,"($14,080)"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Royalties,"($49,544)"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),3rd Party Fraud,"($4,010)"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Servicing & Collections,"($12,260)"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Acquisition Bounties,-
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Sign-On Bonus,-
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Marketing Expense,-
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Added Features,-
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),KYC/AML and Underwriting Costs,-
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Card Origination,-
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),CAC / New Account,-
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Partner Signing Bonus,-
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Program Support,"($8,840)"
Merchant 1,Q1 2023,Q2 2023,Very Good (740-799),Other Credits,-
Merchant 1,Q1 2023,Q2 2023,Good (670-739),New Accounts,0
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Total Accounts,"5,811"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),In-Month Active Accounts,"3,562"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Net Transaction Volume,"$4,421,100"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),On-Merchant Volume,"$3,660,700"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Off-Merchant Volume,"$760,400"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Outstanding Balance,"$8,119,840"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Revolve Balance,"$2,431,200"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Principal Payments,"($3,011,800)"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),EoP Interest & Fees Balance,"$184,340"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Interest Revenue,"$151,340"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Interchange Revenue,"$62,800"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Fee Revenue,"$9,700"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Merchant Discount Rate,"$53,970"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Other Revenue,"$2,920"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Cost of Funds,"($96,890)"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Charge Offs,"($24,660)"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Recoveries / Debt Sale,"$1,770"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Payment Fees,"($6,520)"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Rewards,"($79,813)"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Rebates,"($9,160)"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Royalties,"($30,016)"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),3rd Party Fraud,"($2,970)"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Servicing & Collections,"($12,030)"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Acquisition Bounties,-
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Sign-On Bonus,-
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Marketing Expense,-
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Added Features,-
Merchant 1,Q1 2023,Q2 2023,Good (670-739),KYC/AML and Underwriting Costs,-
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Card Origination,-
Merchant 1,Q1 2023,Q2 2023,Good (670-739),CAC / New Account,-
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Partner Signing Bonus,-
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Program Support,"($6,730)"
Merchant 1,Q1 2023,Q2 2023,Good (670-739),Other Credits,"($8,270)"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),New Accounts,0
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Total Accounts,"3,706"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),In-Month Active Accounts,"2,048"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Net Transaction Volume,"$2,078,600"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),On-Merchant Volume,"$1,721,100"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Off-Merchant Volume,"$357,500"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Outstanding Balance,"$4,781,750"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Revolve Balance,"$1,967,500"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Principal Payments,"($1,255,900)"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),EoP Interest & Fees Balance,"$185,650"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Interest Revenue,"$137,230"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Interchange Revenue,"$31,600"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Fee Revenue,"$9,760"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Merchant Discount Rate,"$25,780"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Other Revenue,"$1,710"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Cost of Funds,"($56,890)"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Charge Offs,"($24,470)"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Recoveries / Debt Sale,"$1,810"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Payment Fees,"($3,150)"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Rewards,"($33,761)"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Rebates,"($3,990)"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Royalties,"($14,395)"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),3rd Party Fraud,"($1,820)"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Servicing & Collections,"($9,830)"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Acquisition Bounties,-
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Sign-On Bonus,-
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Marketing Expense,-
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Added Features,-
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),KYC/AML and Underwriting Costs,-
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Card Origination,-
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),CAC / New Account,-
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Partner Signing Bonus,-
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Program Support,"($4,310)"
Merchant 1,Q1 2023,Q2 2023,Fair (580-669),Other Credits,-
Merchant 1,Q1 2023,Q2 2023,Poor (300-579),New Accounts,0
Merchant 1,Q1 2023,Q2 2023,Poor (300-579),Total Accounts,"1,606"
Merchant 1,Q1 2023,Q2 2023,Poor (300-579),In-Month Active Accounts,759
Merchant 1,Q1 2023,Q2 2023,Poor (300-579),Net Transaction Volume,"$543,500"
Merchant 1,Q1 2023,Q2 2023,Poor (300-579),On-Merchant Volume,"$450,000"
Merchant 1,Q1 2023,Q2 2023,Poor (300-579),Off-Merchant Volume,"$93,500"
Merchant 1,Q1 2023,Q2 2023,Poor (300-579),Outstanding Balance,"$1,558,550"
