Merchant,Grain FICO,QSB,Line Item,Driver Basis,rate
Merchant 2,Fair (580-669),8,Interest Revenue,Revolve Balance,0.06975041099985055
Merchant 2,Fair (580-669),9,Interest Revenue,Revolve Balance,0.06975014157500042
Merchant 2,Fair (580-669),10,Interest Revenue,Revolve Balance,0.06974995255266654
Merchant 2,Fair (580-669),11,Interest Revenue,Revolve Balance,0.06974871225703634
Merchant 2,Good (670-739),0,Interest Revenue,Revolve Balance,0.06225013829983404
Merchant 2,Good (670-739),1,Interest Revenue,Revolve Balance,0.0622503791399638
Merchant 2,Good (670-739),2,Interest Revenue,Revolve Balance,0.062250316335044395
Merchant 2,Good (670-739),3,Interest Revenue,Revolve Balance,0.062249756726910924
Merchant 2,Good (670-739),4,Interest Revenue,Revolve Balance,0.062250362267522306
Merchant 2,Good (670-739),5,Interest Revenue,Revolve Balance,0.062250105393951496
Merchant 2,Good (670-739),6,Interest Revenue,Revolve Balance,0.0622500351063798
Merchant 2,Good (670-739),7,Interest Revenue,Revolve Balance,0.06225026367051882
Merchant 2,Good (670-739),8,Interest Revenue,Revolve Balance,0.06224993627446353
Merchant 2,Good (670-739),9,Interest Revenue,Revolve Balance,0.06225055735434372
Merchant 2,Good (670-739),10,Interest Revenue,Revolve Balance,0.062249830323296194
Merchant 2,Good (670-739),11,Interest Revenue,Revolve Balance,0.06225023738812453
Merchant 2,Poor (300-579),0,Interest Revenue,Revolve Balance,0.07475124017289896
Merchant 2,Poor (300-579),1,Interest Revenue,Revolve Balance,0.07475100850103698
Merchant 2,Poor (300-579),2,Interest Revenue,Revolve Balance,0.07475169051106607
Merchant 2,Poor (300-579),3,Interest Revenue,Revolve Balance,0.07475105111750387
Merchant 2,Poor (300-579),4,Interest Revenue,Revolve Balance,0.07475089860830918
Merchant 2,Poor (300-579),5,Interest Revenue,Revolve Balance,0.07475015867210276
Merchant 2,Poor (300-579),6,Interest Revenue,Revolve Balance,0.07474809125142508
Merchant 2,Poor (300-579),7,Interest Revenue,Revolve Balance,0.07474948742383551
Merchant 2,Poor (300-579),8,Interest Revenue,Revolve Balance,0.07475121951219513
Merchant 2,Poor (300-579),9,Interest Revenue,Revolve Balance,0.07475120232369888
Merchant 2,Poor (300-579),10,Interest Revenue,Revolve Balance,0.07475209021971611
Merchant 2,Poor (300-579),11,Interest Revenue,Revolve Balance,0.07474762808349146
Merchant 2,Very Good (740-799),0,Interest Revenue,Revolve Balance,0.05475002640709173
Merchant 2,Very Good (740-799),1,Interest Revenue,Revolve Balance,0.05474974351054089
Merchant 2,Very Good (740-799),2,Interest Revenue,Revolve Balance,0.05475006167690699
Merchant 2,Very Good (740-799),3,Interest Revenue,Revolve Balance,0.054749917994209675
Merchant 2,Very Good (740-799),4,Interest Revenue,Revolve Balance,0.05475001918134039
Merchant 2,Very Good (740-799),5,Interest Revenue,Revolve Balance,0.054750001813947076
Merchant 2,Very Good (740-799),6,Interest Revenue,Revolve Balance,0.05475006770117468
Merchant 2,Very Good (740-799),7,Interest Revenue,Revolve Balance,0.05474959947100565
Merchant 2,Very Good (740-799),8,Interest Revenue,Revolve Balance,0.054750215174988785
Merchant 2,Very Good (740-799),9,Interest Revenue,Revolve Balance,0.054749892488908
Merchant 2,Very Good (740-799),10,Interest Revenue,Revolve Balance,0.05474988082469312
Merchant 2,Very Good (740-799),11,Interest Revenue,Revolve Balance,0.054749712994515004
Merchant 3,Exceptional (800-850),0,Interest Revenue,Revolve Balance,0.04725142045454545
Merchant 3,Exceptional (800-850),1,Interest Revenue,Revolve Balance,0.04724876305378521
Merchant 3,Exceptional (800-850),2,Interest Revenue,Revolve Balance,0.047250399906363386
Merchant 3,Exceptional (800-850),3,Interest Revenue,Revolve Balance,0.04725045316605226
Merchant 3,Exceptional (800-850),4,Interest Revenue,Revolve Balance,0.04724982855650016
Merchant 3,Exceptional (800-850),5,Interest Revenue,Revolve Balance,0.047249703205381875
Merchant 3,Exceptional (800-850),6,Interest Revenue,Revolve Balance,0.04725078479246599
Merchant 3,Exceptional (800-850),7,Interest Revenue,Revolve Balance,0.04725063311019062
Merchant 3,Exceptional (800-850),8,Interest Revenue,Revolve Balance,0.04724915172079496
Merchant 3,Exceptional (800-850),9,Interest Revenue,Revolve Balance,0.047248282485040996
Merchant 3,Fair (580-669),0,Interest Revenue,Revolve Balance,0.06975042830022689
Merchant 3,Fair (580-669),1,Interest Revenue,Revolve Balance,0.06974999214305917
Merchant 3,Fair (580-669),2,Interest Revenue,Revolve Balance,0.06974980963776786
Merchant 3,Fair (580-669),3,Interest Revenue,Revolve Balance,0.06975047187617969
Merchant 3,Fair (580-669),4,Interest Revenue,Revolve Balance,0.06975007193324595
Merchant 3,Fair (580-669),5,Interest Revenue,Revolve Balance,0.06974954272985748
Merchant 3,Fair (580-669),6,Interest Revenue,Revolve Balance,0.06974994247944948
Merchant 3,Fair (580-669),7,Interest Revenue,Revolve Balance,0.06974990482326412
Merchant 3,Fair (580-669),8,Interest Revenue,Revolve Balance,0.06974958187796525
Merchant 3,Fair (580-669),9,Interest Revenue,Revolve Balance,0.06974894864279342
Merchant 3,Good (670-739),0,Interest Revenue,Revolve Balance,0.062249708727341695
Merchant 3,Good (670-739),1,Interest Revenue,Revolve Balance,0.06224999252593501
Merchant 3,Good (670-739),2,Interest Revenue,Revolve Balance,0.06225008937656409
Merchant 3,Good (670-739),3,Interest Revenue,Revolve Balance,0.062250461542882184
Merchant 3,Good (670-739),4,Interest Revenue,Revolve Balance,0.06225009087604508
Merchant 3,Good (670-739),5,Interest Revenue,Revolve Balance,0.06224971028580888
Merchant 3,Good (670-739),6,Interest Revenue,Revolve Balance,0.062250187207640015
Merchant 3,Good (670-739),7,Interest Revenue,Revolve Balance,0.06225001914228635
Merchant 3,Good (670-739),8,Interest Revenue,Revolve Balance,0.062249279210138765
Merchant 3,Good (670-739),9,Interest Revenue,Revolve Balance,0.062250237289785584
Merchant 3,Poor (300-579),0,Interest Revenue,Revolve Balance,0.07474828033097398
Merchant 3,Poor (300-579),1,Interest Revenue,Revolve Balance,0.07475015142337978
Merchant 3,Poor (300-579),2,Interest Revenue,Revolve Balance,0.07474949899799599
Merchant 3,Poor (300-579),3,Interest Revenue,Revolve Balance,0.07474992365847113
Merchant 3,Poor (300-579),4,Interest Revenue,Revolve Balance,0.07474908667549882
Merchant 3,Poor (300-579),5,Interest Revenue,Revolve Balance,0.0747496511303377
Merchant 3,Poor (300-579),6,Interest Revenue,Revolve Balance,0.07474952734942703
Merchant 3,Poor (300-579),7,Interest Revenue,Revolve Balance,0.07475139952857984
Merchant 3,Poor (300-579),8,Interest Revenue,Revolve Balance,0.07475153012521758
Merchant 3,Poor (300-579),9,Interest Revenue,Revolve Balance,0.0747467438494935
Merchant 3,Very Good (740-799),0,Interest Revenue,Revolve Balance,0.05475003188368831
Merchant 3,Very Good (740-799),1,Interest Revenue,Revolve Balance,0.05475063529841565
Merchant 3,Very Good (740-799),2,Interest Revenue,Revolve Balance,0.054750139776659566
Merchant 3,Very Good (740-799),3,Interest Revenue,Revolve Balance,0.05474947162363469
Merchant 3,Very Good (740-799),4,Interest Revenue,Revolve Balance,0.054749837107255506
Merchant 3,Very Good (740-799),5,Interest Revenue,Revolve Balance,0.05474937468734367
Merchant 3,Very Good (740-799),6,Interest Revenue,Revolve Balance,0.05475013392515497
Merchant 3,Very Good (740-799),7,Interest Revenue,Revolve Balance,0.05474978658108298
Merchant 3,Very Good (740-799),8,Interest Revenue,Revolve Balance,0.05475014550594496
Merchant 3,Very Good (740-799),9,Interest Revenue,Revolve Balance,0.05475173940543959
Merchant 4,Exceptional (800-850),0,Interest Revenue,Revolve Balance,0.047250377399180504
Merchant 4,Exceptional (800-850),1,Interest Revenue,Revolve Balance,0.04724909829965077
Merchant 4,Exceptional (800-850),2,Interest Revenue,Revolve Balance,0.047250356817361096
Merchant 4,Exceptional (800-850),3,Interest Revenue,Revolve Balance,0.047249683644416327
Merchant 4,Exceptional (800-850),4,Interest Revenue,Revolve Balance,0.04725062421619912
Merchant 4,Exceptional (800-850),5,Interest Revenue,Revolve Balance,0.047249863597391466
Merchant 4,Exceptional (800-850),6,Interest Revenue,Revolve Balance,0.047251203535632544
Merchant 4,Exceptional (800-850),7,Interest Revenue,Revolve Balance,0.047248206454229724
Merchant 4,Exceptional (800-850),8,Interest Revenue,Revolve Balance,0.047252495124469426
Merchant 4,Fair (580-669),0,Interest Revenue,Revolve Balance,0.06975053679484677
Merchant 4,Fair (580-669),1,Interest Revenue,Revolve Balance,0.0697500680771462
Merchant 4,Fair (580-669),2,Interest Revenue,Revolve Balance,0.06975007314201992
Merchant 4,Fair (580-669),3,Interest Revenue,Revolve Balance,0.06975007123890123
Merchant 4,Fair (580-669),4,Interest Revenue,Revolve Balance,0.0697500346532366
Merchant 4,Fair (580-669),5,Interest Revenue,Revolve Balance,0.06975008451005921
Merchant 4,Fair (580-669),6,Interest Revenue,Revolve Balance,0.06974998098943012
Merchant 4,Fair (580-669),7,Interest Revenue,Revolve Balance,0.06974980305861367
Merchant 4,Fair (580-669),8,Interest Revenue,Revolve Balance,0.06975032991642117
Merchant 4,Good (670-739),0,Interest Revenue,Revolve Balance,0.06225016102283735
Merchant 4,Good (670-739),1,Interest Revenue,Revolve Balance,0.062249981709576394
Merchant 4,Good (670-739),2,Interest Revenue,Revolve Balance,0.06225024467711853
Merchant 4,Good (670-739),3,Interest Revenue,Revolve Balance,0.06225002905512726
Merchant 4,Good (670-739),4,Interest Revenue,Revolve Balance,0.0622502804847246
Merchant 4,Good (670-739),5,Interest Revenue,Revolve Balance,0.06224990202259444
Merchant 4,Good (670-739),6,Interest Revenue,Revolve Balance,0.062250102209796446
Merchant 4,Good (670-739),7,Interest Revenue,Revolve Balance,0.06224988706720166
Merchant 4,Good (670-739),8,Interest Revenue,Revolve Balance,0.06224986479177934
Merchant 4,Poor (300-579),0,Interest Revenue,Revolve Balance,0.07475085083592087
Merchant 4,Poor (300-579),1,Interest Revenue,Revolve Balance,0.07474942797453243
Merchant 4,Poor (300-579),2,Interest Revenue,Revolve Balance,0.07474988320804742
Merchant 4,Poor (300-579),3,Interest Revenue,Revolve Balance,0.0747509194249415
Merchant 4,Poor (300-579),4,Interest Revenue,Revolve Balance,0.07475005689145112
Merchant 4,Poor (300-579),5,Interest Revenue,Revolve Balance,0.07474904012746063
Merchant 4,Poor (300-579),6,Interest Revenue,Revolve Balance,0.07475022706630335
Merchant 4,Poor (300-579),7,Interest Revenue,Revolve Balance,0.07474965077334769
Merchant 4,Poor (300-579),8,Interest Revenue,Revolve Balance,0.07474906445633547
Merchant 4,Very Good (740-799),0,Interest Revenue,Revolve Balance,0.054749825594115197
Merchant 4,Very Good (740-799),1,Interest Revenue,Revolve Balance,0.05475038944303529
Merchant 4,Very Good (740-799),2,Interest Revenue,Revolve Balance,0.05475002693228809
Merchant 4,Very Good (740-799),3,Interest Revenue,Revolve Balance,0.05474989790346486
Merchant 4,Very Good (740-799),4,Interest Revenue,Revolve Balance,0.0547499258540268
Merchant 4,Very Good (740-799),5,Interest Revenue,Revolve Balance,0.05475013693744188
Merchant 4,Very Good (740-799),6,Interest Revenue,Revolve Balance,0.054749681025578714
Merchant 4,Very Good (740-799),7,Interest Revenue,Revolve Balance,0.05474976602137826
Merchant 4,Very Good (740-799),8,Interest Revenue,Revolve Balance,0.05475103342069003
Merchant 5,Exceptional (800-850),0,Interest Revenue,Revolve Balance,0.04725112575368255
Merchant 5,Exceptional (800-850),1,Interest Revenue,Revolve Balance,0.04725028058361392
Merchant 5,Exceptional (800-850),2,Interest Revenue,Revolve Balance,0.04725165482627355
Merchant 5,Exceptional (800-850),3,Interest Revenue,Revolve Balance,0.04724787800316501
Merchant 5,Exceptional (800-850),4,Interest Revenue,Revolve Balance,0.047247217223222025
Merchant 5,Exceptional (800-850),5,Interest Revenue,Revolve Balance,0.0472519657038998
Merchant 5,Exceptional (800-850),6,Interest Revenue,Revolve Balance,0.04725434275343531
Merchant 5,Exceptional (800-850),7,Interest Revenue,Revolve Balance,0.04725260416666666
Merchant 5,Fair (580-669),0,Interest Revenue,Revolve Balance,0.06975022034036908
Merchant 5,Fair (580-669),1,Interest Revenue,Revolve Balance,0.06975056436997233
Merchant 5,Fair (580-669),2,Interest Revenue,Revolve Balance,0.06975033751022038
Merchant 5,Fair (580-669),3,Interest Revenue,Revolve Balance,0.06974976878915316
Merchant 5,Fair (580-669),4,Interest Revenue,Revolve Balance,0.06974978214863688
Merchant 5,Fair (580-669),5,Interest Revenue,Revolve Balance,0.069750286536445
Merchant 5,Fair (580-669),6,Interest Revenue,Revolve Balance,0.0697504
Merchant 5,Fair (580-669),7,Interest Revenue,Revolve Balance,0.0697497994018528
Merchant 5,Good (670-739),0,Interest Revenue,Revolve Balance,0.06224991265867008
Merchant 5,Good (670-739),1,Interest Revenue,Revolve Balance,0.062250063403499874
Merchant 5,Good (670-739),2,Interest Revenue,Revolve Balance,0.06225041546357892
Merchant 5,Good (670-739),3,Interest Revenue,Revolve Balance,0.062249524059982735
Merchant 5,Good (670-739),4,Interest Revenue,Revolve Balance,0.06225007181364526
Merchant 5,Good (670-739),5,Interest Revenue,Revolve Balance,0.06224992093162816
Merchant 5,Good (670-739),6,Interest Revenue,Revolve Balance,0.06224967598979891
Merchant 5,Good (670-739),7,Interest Revenue,Revolve Balance,0.06224899598393574
Merchant 5,Poor (300-579),0,Interest Revenue,Revolve Balance,0.07474904792891203
Merchant 5,Poor (300-579),1,Interest Revenue,Revolve Balance,0.07474883233247545
Merchant 5,Poor (300-579),2,Interest Revenue,Revolve Balance,0.07474977168949772
Merchant 5,Poor (300-579),3,Interest Revenue,Revolve Balance,0.07475056832533468
Merchant 5,Poor (300-579),4,Interest Revenue,Revolve Balance,0.07474960399658828
Merchant 5,Poor (300-579),5,Interest Revenue,Revolve Balance,0.07475016754784422
Merchant 5,Poor (300-579),6,Interest Revenue,Revolve Balance,0.0747508368477788
Merchant 5,Poor (300-579),7,Interest Revenue,Revolve Balance,0.07475103061744406
Merchant 5,Very Good (740-799),0,Interest Revenue,Revolve Balance,0.05474944799155944
Merchant 5,Very Good (740-799),1,Interest Revenue,Revolve Balance,0.05475031602416714
Merchant 5,Very Good (740-799),2,Interest Revenue,Revolve Balance,0.05474968797670226
Merchant 5,Very Good (740-799),3,Interest Revenue,Revolve Balance,0.054750360987520987
Merchant 5,Very Good (740-799),4,Interest Revenue,Revolve Balance,0.05475075507772451
Merchant 5,Very Good (740-799),5,Interest Revenue,Revolve Balance,0.05475017009342693
Merchant 5,Very Good (740-799),6,Interest Revenue,Revolve Balance,0.05475151072019956
Merchant 5,Very Good (740-799),7,Interest Revenue,Revolve Balance,0.05475153960501168
Merchant 6,Exceptional (800-850),0,Interest Revenue,Revolve Balance,0.04725005681700791
Merchant 6,Exceptional (800-850),1,Interest Revenue,Revolve Balance,0.04725015581046709
Merchant 6,Exceptional (800-850),2,Interest Revenue,Revolve Balance,0.04724913363519085
Merchant 6,Exceptional (800-850),3,Interest Revenue,Revolve Balance,0.04724932769880907
Merchant 6,Exceptional (800-850),4,Interest Revenue,Revolve Balance,0.047250139746061445
Merchant 6,Exceptional (800-850),5,Interest Revenue,Revolve Balance,0.04724905438599135
Merchant 6,Exceptional (800-850),6,Interest Revenue,Revolve Balance,0.04725083612040134
Merchant 6,Fair (580-669),0,Interest Revenue,Revolve Balance,0.06974969254141648
Merchant 6,Fair (580-669),1,Interest Revenue,Revolve Balance,0.06974974371344148
Merchant 6,Fair (580-669),2,Interest Revenue,Revolve Balance,0.06974990075426757
Merchant 6,Fair (580-669),3,Interest Revenue,Revolve Balance,0.06974995422802291
Merchant 6,Fair (580-669),4,Interest Revenue,Revolve Balance,0.0697495183044316
Merchant 6,Fair (580-669),5,Interest Revenue,Revolve Balance,0.06975001846634377
Merchant 6,Fair (580-669),6,Interest Revenue,Revolve Balance,0.06975053097663703
Merchant 6,Good (670-739),0,Interest Revenue,Revolve Balance,0.062249565428905355
Merchant 6,Good (670-739),1,Interest Revenue,Revolve Balance,0.06224977521177417
Merchant 6,Good (670-739),2,Interest Revenue,Revolve Balance,0.06225039264078977
Merchant 6,Good (670-739),3,Interest Revenue,Revolve Balance,0.06224984337802281
Merchant 6,Good (670-739),4,Interest Revenue,Revolve Balance,0.06225005849216205
Merchant 6,Good (670-739),5,Interest Revenue,Revolve Balance,0.06225013592605622
Merchant 6,Good (670-739),6,Interest Revenue,Revolve Balance,0.062249572199552454
Merchant 6,Poor (300-579),0,Interest Revenue,Revolve Balance,0.07474868315328989
Merchant 6,Poor (300-579),1,Interest Revenue,Revolve Balance,0.07475155802593902
Merchant 6,Poor (300-579),2,Interest Revenue,Revolve Balance,0.07474839616575198
Merchant 6,Poor (300-579),3,Interest Revenue,Revolve Balance,0.07474916103095242
Merchant 6,Poor (300-579),4,Interest Revenue,Revolve Balance,0.07474987698868296
Merchant 6,Poor (300-579),5,Interest Revenue,Revolve Balance,0.07475137507639314
Merchant 6,Poor (300-579),6,Interest Revenue,Revolve Balance,0.07475054030440981
Merchant 6,Very Good (740-799),0,Interest Revenue,Revolve Balance,0.0547505306153856
Merchant 6,Very Good (740-799),1,Interest Revenue,Revolve Balance,0.05474982747590959
Merchant 6,Very Good (740-799),2,Interest Revenue,Revolve Balance,0.05474974514532932
Merchant 6,Very Good (740-799),3,Interest Revenue,Revolve Balance,0.054750081474157504
Merchant 6,Very Good (740-799),4,Interest Revenue,Revolve Balance,0.05475009230975798
Merchant 6,Very Good (740-799),5,Interest Revenue,Revolve Balance,0.054749361572941406
Merchant 6,Very Good (740-799),6,Interest Revenue,Revolve Balance,0.054749232501812684
Merchant 7,Exceptional (800-850),0,Interest Revenue,Revolve Balance,0.04725012728017782
Merchant 7,Exceptional (800-850),1,Interest Revenue,Revolve Balance,0.047249127204368455
Merchant 7,Exceptional (800-850),2,Interest Revenue,Revolve Balance,0.04724954910641089
Merchant 7,Exceptional (800-850),3,Interest Revenue,Revolve Balance,0.04724959912393915
Merchant 7,Exceptional (800-850),4,Interest Revenue,Revolve Balance,0.04724964739069112
Merchant 7,Exceptional (800-850),5,Interest Revenue,Revolve Balance,0.04724908017455292
Merchant 7,Fair (580-669),0,Interest Revenue,Revolve Balance,0.0697487091222031
Merchant 7,Fair (580-669),1,Interest Revenue,Revolve Balance,0.06974984986372246
Merchant 7,Fair (580-669),2,Interest Revenue,Revolve Balance,0.06975000270911672
Merchant 7,Fair (580-669),3,Interest Revenue,Revolve Balance,0.06974923078954666
Merchant 7,Fair (580-669),4,Interest Revenue,Revolve Balance,0.06975085755551544
Merchant 7,Fair (580-669),5,Interest Revenue,Revolve Balance,0.0697518723050155
Merchant 7,Good (670-739),0,Interest Revenue,Revolve Balance,0.06225011622501162
Merchant 7,Good (670-739),1,Interest Revenue,Revolve Balance,0.06225032858589558
Merchant 7,Good (670-739),2,Interest Revenue,Revolve Balance,0.06225011048431123
Merchant 7,Good (670-739),3,Interest Revenue,Revolve Balance,0.062249934428574835
Merchant 7,Good (670-739),4,Interest Revenue,Revolve Balance,0.062249495445371734
Merchant 7,Good (670-739),5,Interest Revenue,Revolve Balance,0.06224964739069112
Merchant 7,Poor (300-579),0,Interest Revenue,Revolve Balance,0.07474921427648856
Merchant 7,Poor (300-579),1,Interest Revenue,Revolve Balance,0.07475085527294363
Merchant 7,Poor (300-579),2,Interest Revenue,Revolve Balance,0.07474898525955992
Merchant 7,Poor (300-579),3,Interest Revenue,Revolve Balance,0.07475100471780535
Merchant 7,Poor (300-579),4,Interest Revenue,Revolve Balance,0.07474729241877257
Merchant 7,Poor (300-579),5,Interest Revenue,Revolve Balance,0.0747454448017149
Merchant 7,Very Good (740-799),0,Interest Revenue,Revolve Balance,0.05474958861830865
Merchant 7,Very Good (740-799),1,Interest Revenue,Revolve Balance,0.05475012037669507
Merchant 7,Very Good (740-799),2,Interest Revenue,Revolve Balance,0.05474976107841658
